username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
us_gang10,11/17/16 2:15,2,5,Before #demonetization : Poor earn less than 100 bucks. After #demonetization : Poor only have 500 and1000 note,,,#demonetization #demonetization,7.99194E+17,https://twitter.com/us_gang10/status/799194210180202496
FTIIndia,11/17/16 2:15,5,4,How would consumption,,,,,
mikechauhan,11/17/16 2:14,1,5,@ArvindKejriwal no body is taking you seriously? Do something about #demonetization,,@ArvindKejriwal,#demonetization,7.99194E+17,https://twitter.com/mikechauhan/status/799193994378870785
mufeed,11/17/16 2:14,1,0,Earlier you invest on an avg 4 hours to exchange Rs 4500. Now the same investment would yield on Rs 2000 From bad to worse #demonetization,,,#demonetization,7.99194E+17,https://twitter.com/mufeed/status/799193990973313024
SandeepK_CS,11/17/16 2:14,0,0,Daily few new conditions,,,,,
PoliticsNext,11/17/16 2:14,0,0,#Breaking Banks getting back to normal,,,,,
CLawyersagainst,11/17/16 2:14,0,1,TV camera focuses on a non matric lad & shoots-What is ur opinion as to note demonetization . Pat Comes answer-Correct action!,,,,7.99194E+17,https://twitter.com/CLawyersagainst/status/799193946597376000
sdsk114,11/17/16 2:14,0,1,@sujataanandan @observereacting but if u get 2 heads examined ,,,,,
navina30,11/17/16 2:14,0,0,10 Reasons Why BJP's Demonetization Move Is An Unmitigated â€” And Politically Motivated â€” Disaster http://www. huffingtonpost.in/apoorva-pathak /10-reasons-why-bjps-demonetization-move-is-an-unmitigated-and/ â€_,,,,7.99194E+17,https://twitter.com/navina30/status/799193922383671296
CaravanDaily,11/17/16 2:12,0,0,#CashCrisis : Demonetization May Hit BJPâ€™s Rivals Hard in Crucial UP Elections https:// goo.gl/fb/fHEoC7,,,#CashCrisis,7.99194E+17,https://twitter.com/CaravanDaily/status/799193506929582084
OnmanoramaLive,11/17/16 2:12,1,0,Kerala govt sees demonetization effects lingering for at least four months #Demonetization http:// english.manoramaonline.com/in-depth/demon etization-rs-1000-500-black-money/kerala-government-demonitization-effects-four-months.html â€_,,,#Demonetization,7.99193E+17,https://twitter.com/OnmanoramaLive/status/799193487849553920
SteelMint,11/17/16 2:12,0,1,Indian Manganese Alloy Market Immobilized By Demonetization http://www. steelmint.com/news/indian-ma nganese-alloy-market-immobilized-by-demonetization-74208 â€_,,,,7.99193E+17,https://twitter.com/SteelMint/status/799193460662239233
IACAbhi,11/17/16 2:12,172,87,Another Man died in Punjab coz he is not able to change currency for daughters marriage. #demonetization pic.twitter.com/3j3YrBhl53,,,#demonetization,7.99193E+17,https://twitter.com/IACAbhi/status/799193456874835968
Myquotesbouquet,11/17/16 2:12,0,0,Not against demonetization move but common man finding diff to withdraw thr savings while rich withdraw in bulk through xchange in lakhs !!,,,,7.99193E+17,https://twitter.com/Myquotesbouquet/status/799193367884140545
vivek__malhotra,11/17/16 2:11,0,0,#demonetization This is the real face of @ArvindKejriwal . He is threat to nation. Plz do something to stop him @narendramodi #currencyban pic.twitter.com/Vm3PsG7I8r,,@ArvindKejriwal @narendramodi,#demonetization #currencyban,7.99193E+17,https://twitter.com/vivek__malhotra/status/799193274904768512
RitikaSpeaks,11/17/16 2:11,3,8,Augusta Scam: AK parallely launched attack on PM's degree Demonetization -black money: AK blames PM for an imaginary scam #StopDemonetisation,,,#StopDemonetisation,7.99193E+17,https://twitter.com/RitikaSpeaks/status/799193148660428800
TWEETmrinmoy,11/17/16 2:10,0,0,...I have used & found it quite useful.However,,,,,
abaranwal1802,11/17/16 2:10,0,0,Demonetization of Rs 500 and Rs 1,,,,,
mann2906,11/17/16 2:10,2,1,we teach Cricket 2 Sachin,,,,,
informaleconomy,11/17/16 2:10,0,0,I'd like to give Modi,,,,,
PoohBear_Goa,11/17/16 2:10,0,0,True.. Demonetization did play a role,,,,,
