username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
tymindia;2016-11-14 09:50;0;0;"Demonetization : Petrol pump employees arrested for beating customers #TymNews pic.twitter.com/iUKwemAWOJ";;;#TymNews;"798221492546768896";https://twitter.com/tymindia/status/798221492546768896
arunishukla;2016-11-14 09:49;0;0;"Hanumanthappa waited six days, we can wait few hours to rescue nation: Sehwag shames demonetization critics |... http:// fb.me/2TuZeKt3X";;;;"798221261423800320";https://twitter.com/arunishukla/status/798221261423800320
Tweetoloquist;2016-11-14 09:49;0;1;"Ground level reporting by the Indian TV media on #demonetization has focussed only on the big cities. India lives in villages.";;;#demonetization;"798221254276747264";https://twitter.com/Tweetoloquist/status/798221254276747264
neo_pac;2016-11-14 09:48;67;45;"MUST Read @ArvindKejriwal 10 Reasons Why #Demonetization Is An Unmitigated & Politically Motivated disaster http://www. huffingtonpost.in/apoorva-pathak /10-reasons-why-bjps-demonetization-move-is-an-unmitigated-and/?utm_hp_ref=in-blog …";;@ArvindKejriwal;#Demonetization;"798221156469772293";https://twitter.com/neo_pac/status/798221156469772293
TamilAlayam;2016-11-14 09:48;0;0;"Ayutha Ezhuthu 14-11-2016 Discussion on ‘ Demonetization of Rs.500 and Rs.1000 Notes…’... http:// fb.me/5yhQz3wR7";;;;"798221108122099712";https://twitter.com/TamilAlayam/status/798221108122099712
sudhirpadmar;2016-11-14 09:48;0;0;"Big Breaking! Modi’s demonetization Drive has destroyed Terror Networks in Kashmir http:// fb.me/6i5O4oZxl";;;;"798221020578639872";https://twitter.com/sudhirpadmar/status/798221020578639872
bhuwanmpandey;2016-11-14 09:48;0;0;"MamataB says already 1.5 lac crore GDP loss in 6 days. Even if that is exaggerated, even economically demonetization may not be worth it. https:// twitter.com/bhuwanmpandey/ status/798220119117705216 …";;;;"798220984348065792";https://twitter.com/bhuwanmpandey/status/798220984348065792
AficionadoYash;2016-11-14 09:48;0;0;"Demonetization : Hire retired bank employess for speedy currency swap, says Assocham";;;;"798220983014395905";https://twitter.com/AficionadoYash/status/798220983014395905
PplOfIndia;2016-11-14 09:48;0;4;"VS demonetization നെ കുറിച്ച് ഒന്നും പറഞ്ഞു കണ്ടില്ലല്ലോ! പാവത്തിന് മനസ്സിലായിക്കാണില്ലാ :) https:// twitter.com/manoramanews/s tatus/798220346910384128 …";;;;"798220975938510848";https://twitter.com/PplOfIndia/status/798220975938510848
concerned_nemo;2016-11-14 09:47;0;0;"What is someone told you that the real reason that this #Demonetization was done hasn't got anything to do with black money ? Would 1/11";;;#Demonetization;"798220719238721536";https://twitter.com/concerned_nemo/status/798220719238721536
maya206;2016-11-14 09:46;1;4;"worth a read: a primer on major demonetization schemes around the world and how India compares: http:// jpkoning.blogspot.in/2016/11/aggres sive-demonetizations.html …";;;;"798220618076258304";https://twitter.com/maya206/status/798220618076258304
vijaychavda9;2016-11-14 09:46;0;0;"Retweeted kanimozhi ( @kanimozhi ): Alert: To defeat India & #demonetization along with Shakuni, Presstitutes,... http:// fb.me/35fUQKf2l";;@kanimozhi;#demonetization;"798220475658829828";https://twitter.com/vijaychavda9/status/798220475658829828
chits10;2016-11-14 09:45;0;1;"Hanumanthappa waited six days, we can wait few hours to rescue nation: Sehwag shames demonetization critics |... http:// fb.me/1EI6YuFY3";;;;"798220333920780288";https://twitter.com/chits10/status/798220333920780288
morphineworld;2016-11-14 09:45;1;0;"BJD won’t be part of non-BJP team against demonetization - The Times of India http:// toi.in/jE56ha/a18cg via @timesofindia";;@timesofindia;;"798220241239085057";https://twitter.com/morphineworld/status/798220241239085057
nippynews;2016-11-14 09:45;0;0;"DNA - India - Demonetization bold and decisive step but far from enough: Chinese media - http://www. dnaindia.com/india/report-d emonetisation-bold-and-decisive-step-but-far-from-enough-chinese-media-2273249 …";;;;"798220224650735618";https://twitter.com/nippynews/status/798220224650735618
sailorsmoon;2016-11-14 09:44;30;47;"1st claimed BJP guys knew about demonetization now says they opposed to it, like his weird schemes Kejriwals mental state too gone odd even";;;;"798219994043715584";https://twitter.com/sailorsmoon/status/798219994043715584
rao_deepak;2016-11-14 09:44;1;1;"was in Varanasi bw 10-13 Nov. People I met (driver, hoteliers, autowalas) were praising demonetization decision. BJP shd win UP comfortably.";;;;"798219946308157440";https://twitter.com/rao_deepak/status/798219946308157440
manthankthakkar;2016-11-14 09:43;0;1;"#IAmWithModi Benefits of Demonetization .. No more corruption, donation, bribe, extortion, money related crimes, fake notes, cheating.";;;#IAmWithModi;"798219805945778176";https://twitter.com/manthankthakkar/status/798219805945778176
BruceIpad4;2016-11-14 09:43;4;3;"NDTV wale demonetization pr aise ro rhe hain..jaise unhe poori salary cash me milti hai wo bhi Black . @antoniakknguyk1 @iMarwaadi";;@antoniakknguyk1 @iMarwaadi;;"798219797141954560";https://twitter.com/BruceIpad4/status/798219797141954560
dna;2016-11-14 09:42;6;20;"Demonetization : Petrol pump employees arrested for beating customers http:// dnai.in/dEM3";;;;"798219617273450496";https://twitter.com/dna/status/798219617273450496
what_ive_done;2016-11-14 09:42;0;1;"10 Reasons Why BJP's Demonetization Move Is An Unmitigated — And Politically Motivated — Disaster http:// fb.me/38oLvRJRt";;;;"798219549933912064";https://twitter.com/what_ive_done/status/798219549933912064
Gavin_Remedios;2016-11-14 09:42;1;4;"The Behavioral Economics of Demonetization . https:// lnkd.in/fWPzzGT";;;;"798219536524857345";https://twitter.com/Gavin_Remedios/status/798219536524857345
RajendraRazdan;2016-11-14 09:42;0;1;"@DrJitendraSingh Sir, Demonetization has sprang a big surprise by Indian citizens by amazingly displaying a great sense of Patriotism JIA HO";;@DrJitendraSingh;;"798219511887499268";https://twitter.com/RajendraRazdan/status/798219511887499268
suri_tarun;2016-11-14 09:42;0;0;"Demonetization | This is a new Indian sunrise http://www. dnaindia.com/analysis/colum n-this-is-a-new-indian-sunrise-2273153 … via NMApp pic.twitter.com/Hvr68Trhvb";;;;"798219474956652544";https://twitter.com/suri_tarun/status/798219474956652544
pjwaligirl;2016-11-14 09:42;1;0;"Even the vegetable vendor supports #Demonetization as "Aaj udhar kal nakad, paise to aa jaayenge, kala paisa aaye pakad". #IAmWithModi";;;#Demonetization #IAmWithModi;"798219472536367104";https://twitter.com/pjwaligirl/status/798219472536367104
